名稱,類別,單位價格,熱量(kcal),蛋白(g),碳水化合物(g),維生素A(I.U.),鈣(mg),脂肪(g),膽固醇(mg),鈉(mg),膳食纖維(g),維生素C(mg)
蘿美萵苣,小吃,5.3,10.8107,0.9937,2.2879,1942.7528,48.085,0.2329,0,20.4103,1.4026,3.7657
結球萵苣,小吃,8.2,11.7545,0.653,2.7944,106.2141,17.8145,0.1011,0,7.243,0.8951,2.763
豌豆苗,小吃,15.7,26.9059,3.7357,4.448,1659.2275,35.8337,0.4984,0,3.946,2.316,64.5303
土植蕹菜(7月取樣),小吃,2.9,13.498,1.917,2.781,1181.6194,50.2584,0.136,0,97.0295,1.8467,4.858
花椰菜,小吃,4.1,19.3315,1.7823,4.47,8.8125,20.5248,0.131,0,14.3515,2.0356,62.2023
青花菜,小吃,3.5,22.5609,3.6947,4.4343,599.0315,44.3524,0.1737,0,15.3483,3.0878,75.345
冬瓜,小吃,1.9,10.6579,0.4305,2.7231,0,7.2987,0.1235,0,2.7948,1.1178,14.9425
台灣南瓜,小吃,3.6,46.3179,1.6655,11.0755,4906.7796,7.6792,0.1665,0,0.5413,1.3862,3.4345
苦瓜(白皮),小吃,7.7,13.9733,0.8833,4.1213,5.8331,19.918,0.1188,0,3.3065,2.8465,41.4903
絲瓜,小吃,4,16.7409,1.062,3.8677,5.6443,9.6047,0.0982,0,0.3157,1.025,6.5183
黃櫛瓜,小吃,15.9,13.3535,1.45,2.667,0,24.9142,0.1113,0,0.2772,0.936,16.295
長茄子,小吃,3.1,20.11,1.2165,5.3297,9.9954,15.9188,0.1621,0,2.1132,2.7473,5.209
牛番茄,小吃,9.4,16.6452,0.7085,4.0434,1319.2056,6.786,0.1156,0,1.6748,1.0252,12.2815
聖女小番茄,水果,25.7,31.8994,1.1085,6.7298,6096.8528,15.7798,0.6615,0,9.5191,1.4673,49.904
甜椒(青皮),小吃,6.2,19.3394,0.7873,4.8739,261.9284,10.387,0.2711,0,4.2443,2.1056,94.8843
甜椒(紅皮),小吃,12.7,30.3935,0.834,7.0616,1786.4952,5.6,0.45,0,0.73,1.6307,137.677
甜椒(黃皮),小吃,12.7,24.52,0.826,6.047,122.8034,7.08,0.28,0,0.6,1.8795,127.514
甜椒(橙皮),小吃,12.7,32.1317,0.9225,7.6643,2918.7932,6.097,0.2686,0,2.337,1.2759,100.7985
糯米椒,小吃,12,21.5066,1.24,5.6128,334.3616,13.323,0.297,0,0.817,3.22,250.526
黃秋葵,小吃,8,28.4106,2.0565,7.4975,2257.8957,93.8023,0.1082,0,9.4994,3.7491,11.3445
黃豆芽,小吃,4.4,28.7774,5.3727,2.5453,927.6267,51.7724,1.1922,0,6.6069,2.7392,7.257
綠豆芽,小吃,2.6,21.3153,2.3453,4.0681,6.9147,55.6377,0.2147,0,16.2424,1.3116,7.0755
乾海帶,小吃,6.7,169.388,10.0465,47.2883,30795.0665,790.8612,1.1035,0,3152.5113,26.6287,0
木耳,滷味,16,23.9095,0.856,8.8431,0,26.5005,0.1457,0,12.1933,7.3899,0.025
香菇平均值,滷味,20.7,31.288,3.0243,7.576,0,3.1745,0.124,0,1.4764,3.7999,0.2966
,滷味,16.2,24.994,3.3377,4.634,0,1.1,0.084,0,0.7743,1.3297,0.1667
杏鮑菇平均值,滷味,16.2,35.3702,2.7185,8.3203,2.9877,1.0478,0.208,0,2.6007,3.1277,0.2074
珊瑚菇,滷味,10.5,29.439,3.9995,5.2345,0,2.8549,0.212,0,0.073,1.6993,0
金針菇,滷味,10.2,33.0448,2.5873,7.1794,0,0.599,0.3049,0,2.3883,2.2556,0
鴻喜菇,滷味,21.6,25.4179,2.9157,5.3102,0,1.5267,0.1487,0,1.5267,2.1977,0.1563
洋菇,滷味,16.8,22.5391,3.039,3.8347,0,3.5805,0.2456,0,18.6435,1.2811,0.181
猴頭菇,滷味,3.6,26.1953,2.065,5.8647,0,1.93,0.265,0,2.22,2.266,0.5565
豇豆(莢),小吃,8.2,29.6466,2.3514,6.1872,287.0292,34.7126,0.1393,0,1.7586,2.3481,16.5902
毛豆仁,小吃,20,116.0127,14.6025,12.4871,91.663,44.2508,3.3222,0,1.076,6.419,22.5935
牛小排平均值,牛排,70,324.9894,15.1305,0,53.8436,9.2993,28.8672,68.6915,60.497,,1.9835
去骨牛小排,牛排,70,289.8278,17.1365,0,32.0213,8.3685,24.0194,70.053,59.469,0,0.598
帶骨,牛排,70,360.1509,13.1245,0.3875,75.6659,10.23,33.715,67.33,61.525,0,3.369
沙朗牛排,牛排,49,162.0033,20.432,1.5127,17.6565,7.1483,8.2881,60.139,45.7847,0,0.6237
牛去骨肩胛小排,牛排,82,233.4662,16.906,1.2152,7.1333,5.76,17.88,74.09,53.13,0,0.983
去骨紐約克牛排,牛排,118,188.5853,21.33,0,7.7499,6.155,10.81,60.29,49.29,0,1.187
腓力牛排,牛排,210,184.2284,20.6265,0.1333,13.5499,5.445,10.66,67.305,46.86,0,1.3085
牛肉火鍋片平均值,火鍋,73.8,250.3303,19.0555,0.0172,49.2108,5.3809,18.7321,66.5136,47.5924,0,0.0641
牛肚平均值,火鍋,79,72.7298,13.9212,0,4.8572,35.7415,1.473,112.4392,89.2647,0,0.291
山羊帶皮羊肉塊,羊肉,66,164.3677,20.258,3.3944,71.4593,11.525,8.6326,82.849,80.764,0,0.79
山羊後腿肉火鍋片,羊肉,19,170.3569,18.883,0.074,64.9794,7.5345,9.9475,78.6135,98.9395,0,0.56
法式羊排,羊排,84.3,260.1895,18.76,0,40.0996,12.25,19.965,82.851,68.235,0,0.449
豬心,豬心,40,128.0034,13.5745,1.0301,37.4496,2.505,7.765,65.344,73.63,0,1.6
豬肝,豬肝,50,125.8084,20.813,2.8524,12203.2946,4.125,4.095,288.185,83.89,0,18.0215
醃燻豬肝,豬肝,46.4,166.5452,26.825,4.1913,140638.2269,0.62,4.72,390.35,904.52,0,121.94
烤雞,烤肉,13.2,232.9428,22.753,3.6227,82.7658,5.33,14.16,123.29,194.73,0,25.89
里肌肉平均值,火鍋,40,109.0687,24.2488,0,19.7906,3.1885,0.6127,54.3078,57.5465,0,1.6248
里肌肉(土雞),火鍋,40,111.6391,24.845,0,27.1481,4.002,0.6154,52.2105,71.523,0,1.517
里肌肉(肉雞),火鍋,40,106.4984,23.6525,0,12.4332,2.375,0.61,56.405,43.57,0,1.7325
去皮清肉平均值,火鍋,33,118.8472,23.335,0,25.0223,3.9615,2.1294,61.6155,50.2085,0,2.4195
去皮清肉(土雞),火鍋,50,120.8252,23.356,0,19.4448,4.368,2.3387,53.266,67.152,0,1.2885
去皮清肉(肉雞),火鍋,33,116.8692,23.314,0.6263,30.5997,3.555,1.92,69.965,33.265,0,3.5505
去皮雞胸肉(肉雞),火鍋,23.3,103.766,22.4,0,29.9997,1,0.9,56.8,49,0,2.4
帶皮雞胸肉(肉雞),火鍋,23.3,218.6381,19.327,0,254.2308,9.13,15.09,79.67,46.95,0,0.993
棒棒腿平均值,烤肉,23.4,149.9923,18.9143,0,84.5908,5.2025,7.675,65.6725,138.55,0,2.575
棒棒腿(土雞),烤肉,23.4,142.888,21,0,59.9994,2,5.9,43.1,168,0,2.2
棒棒腿(肉雞),烤肉,20,157.0967,16.8285,0.5893,109.1822,8.405,9.45,88.245,109.1,0,2.95
雞排平均值,雞排,25,183.2356,17.096,0,106.0739,6.205,12.2213,66.275,86.255,0,2.8138
雞排(土雞),雞排,25,158.275,18.9,0,93.3324,4,8.6,57.6,97,0,2.7
雞排(肉雞),雞排,25,208.1962,15.292,0,118.8155,8.41,15.8425,74.95,75.51,0,2.9275
二節翅平均值,烤肉,23.3,228.98,18.0893,0,163.8817,8.05,16.8225,114.6775,83.08,0,1.5418
